Name,Email,Education,Interview Date,Status
Mark,mark@gmail.com,M.Tech,08-06-2023,Selected
Henry,henry@gmail.com,MS,13-06-2023,Selected
John D,john_d@gmail.com,M.Sc,08-06-2023,Rejected
Alice,alice@gmail.com,MBA Finance,08-06-2023,Selected
Arya,arya@gmail.com,MBA,08-06-2023,Rejected
Sansa,sansa@gmail.com,M.Tech,13-06-2023,Rejected
Emily,emily@gmail.com,B.Tech,08-06-2023,Onhold
Erik,erik@gmail.com,MS,13-06-2023,Selected
Rose,rose@gmail.com,B.Sc.,13-06-2023,Onhold
Michale,michale@gmail.com,MBA,13-06-2023,Rejected
